[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:05 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iTXt' 648 3446
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'bKGD' 4106 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'bKGD' 4106 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 4124 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tIME' 4145 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'tIME' 4145 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 4164 700
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:05 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iTXt' 648 3446
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'bKGD' 4106 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'bKGD' 4106 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 4124 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tIME' 4145 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'tIME' 4145 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 4164 700
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'bKGD' 41 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'bKGD' 41 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'caBX' 59 22411
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'caBX' 59 22411 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 22482 8192
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'bKGD' 41 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'bKGD' 41 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'caBX' 59 22411
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'caBX' 59 22411 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 22482 8192
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iCCP' 41 3134
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:05 +0800: iCCP profile name b'ICC Profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'eXIf' 3187 150
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 3349 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iTXt' 3370 729
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 4111 16384
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iCCP' 41 3134
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:05 +0800: iCCP profile name b'ICC Profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'eXIf' 3187 150
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 3349 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iTXt' 3370 729
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 4111 16384
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'zTXt' 41 9328
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iCCP' 9381 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:05 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iTXt' 9781 3892
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'bKGD' 13685 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'bKGD' 13685 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 13703 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tIME' 13724 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'tIME' 13724 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 13743 8192
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'zTXt' 41 9328
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iCCP' 9381 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:05 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iTXt' 9781 3892
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'bKGD' 13685 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'bKGD' 13685 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 13703 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tIME' 13724 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'tIME' 13724 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 13743 8192
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 91 39669
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 91 39669
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sBIT' 41 4
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'sBIT' 41 4 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tEXt' 57 25
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tEXt' 94 45
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 151 8192
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'sBIT' 41 4
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'sBIT' 41 4 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tEXt' 57 25
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tEXt' 94 45
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 151 8192
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iCCP' 41 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:05 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'bKGD' 441 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'bKGD' 441 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 459 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tIME' 480 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'tIME' 480 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tEXt' 499 25
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 536 8192
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'iCCP' 41 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:05 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'bKGD' 441 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'bKGD' 441 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'pHYs' 459 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tIME' 480 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:05 +0800: b'tIME' 480 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'tEXt' 499 25
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:05 +0800: STREAM b'IDAT' 536 8192
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:06 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:06 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'iTXt' 648 3446
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'bKGD' 4106 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:06 +0800: b'bKGD' 4106 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'pHYs' 4124 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'tIME' 4145 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:06 +0800: b'tIME' 4145 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'IDAT' 4164 700
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:06 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:06 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'iTXt' 648 3446
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'bKGD' 4106 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:06 +0800: b'bKGD' 4106 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'pHYs' 4124 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'tIME' 4145 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:06 +0800: b'tIME' 4145 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'IDAT' 4164 700
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:06 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:07 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:07 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'iTXt' 648 3446
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'bKGD' 4106 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:07 +0800: b'bKGD' 4106 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'pHYs' 4124 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'tIME' 4145 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:07 +0800: b'tIME' 4145 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'IDAT' 4164 700
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:07 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:07 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'iTXt' 648 3446
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'bKGD' 4106 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:07 +0800: b'bKGD' 4106 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'pHYs' 4124 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'tIME' 4145 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:07 +0800: b'tIME' 4145 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'IDAT' 4164 700
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:07 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:10 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:10 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'iTXt' 648 3446
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'bKGD' 4106 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:10 +0800: b'bKGD' 4106 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'pHYs' 4124 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'tIME' 4145 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:10 +0800: b'tIME' 4145 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'IDAT' 4164 700
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:10 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-02 15:08:10 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'iTXt' 648 3446
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'bKGD' 4106 6
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:10 +0800: b'bKGD' 4106 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'pHYs' 4124 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'tIME' 4145 7
[DEBUG | PngImagePlugin | L728] 2025-04-02 15:08:10 +0800: b'tIME' 4145 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'IDAT' 4164 700
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'sRGB' 41 1
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'gAMA' 54 4
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'pHYs' 70 9
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:10 +0800: STREAM b'IDAT' 91 65445
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:11 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:11 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-02 15:08:11 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-02 15:08:11 +0800: iCCP profile name b'ICC profile'
